iter	Passed	Remaining
139	1290	7926
140	1300	7922
141	1309	7913
142	1319	7906
143	1329	7900
144	1339	7895
145	1349	7892
146	1359	7886
147	1369	7882
148	1378	7873
149	1389	7874
150	1401	7878
151	1412	7882
152	1422	7876
153	1432	7870
154	1441	7858
155	1452	7859
156	1462	7852
157	1472	7845
158	1482	7841
159	1492	7838
160	1503	7833
161	1514	7836
162	1528	7848
163	1623	8276
164	1637	8286
165	1669	8385
166	1683	8398
167	1700	8422
168	1717	8445
169	1731	8452
170	1742	8449
171	1756	8453
172	1767	8449
173	1780	8451
174	1791	8446
175	1802	8438
176	1815	8439
177	1826	8434
178	1836	8425
179	1847	8416
180	1858	8407
181	1868	8398
182	1879	8390
183	1889	8380
184	1903	8383
185	1917	8391
186	1926	8376
187	1938	8373
188	1949	8365
189	1960	8356
190	1970	8345
191	1982	8341
192	1995	8342
193	2006	8338
194	2019	8336
195	2031	8331
196	2044	8334
197	2058	8339
198	2071	8338
199	2083	8332
200	2097	8339
201	2107	8326
202	2121	8327
203	2132	8322
204	2142	8309
205	2155	8309
206	2171	8318
207	2186	8324
208	2200	8327
209	2216	8337
210	2230	8339
211	2244	8341
212	2255	8334
213	2270	8339
214	2283	8335
215	2295	8330
216	2304	8316
217	2314	8301
218	2323	8286
219	2332	8270
220	2343	8259
221	2353	8246
222	2362	8230
223	2373	8222
224	2382	8207
225	2391	8190
226	2400	8174
227	2410	8163
228	2422	8154
229	2432	8145
230	2442	8132
231	2452	8118
232	2462	8104
233	2471	8089
234	2479	8072
235	2489	8058
236	2499	8047
237	2508	8031
238	2517	8016
239	2527	8004
240	2537	7991
241	2547	7978
242	2559	7974
243	2571	7966
244	2582	7957
245	2590	7940
246	2603	7935
247	2617	7937
248	2626	7922
249	2638	7914
250	2653	7917
251	2665	7911
252	2675	7899
253	2685	7888
254	2696	7878
255	2706	7865
256	2716	7853
257	2727	7844
258	2736	7830
259	2745	7815
260	2755	7800
261	2765	7789
262	2774	7776
263	2784	7762
264	2792	7746
265	2801	7731
266	2810	7715
267	2819	7701
268	2828	7686
269	2838	7675
270	2848	7661
271	2857	7647
272	2862	7622
273	2870	7605
274	2879	7591
275	2888	7577
276	2897	7563
277	2906	7548
278	2915	7534
279	2923	7518
280	2934	7509
281	2943	7495
282	2952	7481
283	2962	7469
284	2972	7456
285	2981	7444
286	2991	7432
287	3000	7418
288	3010	7406
289	3019	7392
290	3028	7378
291	3037	7365
292	3047	7352
293	3056	7339
294	3065	7326
295	3074	7312
296	3084	7302
297	3093	7287
298	3102	7273
299	3112	7261
300	3120	7247
301	3131	7236
302	3140	7223
303	3150	7211
304	3159	7199
305	3167	7184
306	3178	7174
307	3189	7165
308	3209	7176
309	3218	7164
310	3228	7151
311	3238	7141
312	3248	7130
313	3258	7118
314	3268	7107
315	3279	7098
316	3292	7093
317	3304	7087
318	3332	7113
319	3342	7102
320	3355	7098
321	3370	7096
322	3385	7096
323	3398	7090
324	3408	7078
325	3420	7071
326	3432	7065
327	3443	7054
328	3453	7043
329	3462	7030
330	3472	7017
331	3481	7005
332	3492	6996
333	3502	6983
334	3513	6974
335	3523	6962
336	3532	6949
337	3541	6936
338	3551	6925
339	3561	6913
340	3572	6903
341	3581	6890
342	3591	6879
343	3602	6870
344	3611	6857
345	3621	6845
346	3630	6832
347	3640	6820
348	3650	6808
349	3658	6794
350	3667	6780
351	3677	6769
352	3687	6758
353	3696	6745
354	3724	6767
355	3736	6759
356	3745	6746
357	3756	6736
358	3762	6717
359	3772	6707
360	3785	6700
361	3795	6689
362	3807	6681
363	3819	6674
364	3834	6671
365	3847	6665
366	3860	6658
367	3871	6648
368	3883	6641
369	3897	6636
370	3912	6634
371	3922	6621
372	3935	6616
373	3951	6613
374	3968	6614
375	3981	6607
376	3993	6599
377	4004	6588
378	4016	6581
379	4027	6571
380	4037	6559
381	4046	6547
382	4057	6535
383	4067	6524
384	4077	6513
385	4086	6500
386	4111	6512
387	4120	6499
388	4130	6487
389	4139	6474
390	4148	6460
391	4157	6448
392	4166	6435
393	4175	6422
394	4184	6409
395	4193	6396
396	4203	6385
397	4213	6372
398	4224	6362
399	4234	6351
400	4245	6341
401	4254	6329
402	4264	6317
403	4274	6306
404	4285	6295
405	4293	6281
406	4302	6268
407	4311	6255
408	4321	6244
409	4330	6231
410	4338	6217
411	4347	6204
412	4356	6191
413	4364	6178
414	4374	6165
415	4383	6153
416	4391	6140
417	4399	6126
418	4408	6113
419	4417	6100
420	4426	6087
421	4436	6076
422	4446	6065
423	4457	6054
424	4466	6043
425	4476	6031
426	4485	6018
427	4494	6007
428	4504	5995
429	4514	5984
430	4523	5971
431	4530	5957
432	4540	5945
433	4551	5936
434	4561	5924
435	4572	5914
436	4582	5903
437	4596	5897
438	4610	5891
439	4620	5880
440	4633	5873
441	4647	5867
442	4660	5860
443	4673	5852
444	4683	5840
445	4694	5831
446	4708	5825
447	4721	5817
448	4730	5805
449	4744	5798
450	4757	5791
451	4768	5781
452	4779	5771
453	4792	5763
454	4807	5759
455	4834	5767
456	4845	5757
457	4857	5748
458	4870	5741
459	4884	5733
460	4894	5722
461	4905	5712
462	4917	5703
463	4927	5691
464	4938	5681
465	4948	5671
466	4960	5661
467	4971	5651
468	4982	5641
469	4994	5632
470	5005	5622
471	5016	5611
472	5027	5601
473	5043	5596
474	5055	5587
475	5066	5577
476	5076	5566
477	5086	5554
478	5096	5543
479	5107	5533
480	5118	5522
481	5128	5511
482	5138	5500
483	5147	5488
484	5158	5477
485	5168	5466
486	5178	5455
487	5190	5446
488	5201	5435
489	5212	5424
490	5223	5415
491	5235	5406
492	5245	5394
493	5256	5384
494	5268	5374
495	5278	5363
496	5289	5352
497	5302	5344
498	5314	5335
499	5324	5324
500	5335	5314
501	5348	5305
502	5358	5294
503	5369	5284
504	5379	5272
505	5389	5261
506	5399	5250
507	5409	5239
508	5420	5229
509	5433	5219
510	5444	5210
511	5456	5200
512	5468	5191
513	5479	5180
514	5490	5170
515	5501	5160
516	5512	5150
517	5524	5140
518	5533	5128
519	5545	5118
520	5555	5107
521	5566	5096
522	5576	5086
523	5585	5074
524	5597	5064
525	5608	5053
526	5617	5041
527	5627	5030
528	5636	5018
529	5646	5006
530	5656	4996
531	5668	4986
532	5678	4974
533	5686	4962
534	5695	4950
535	5704	4938
536	5713	4926
537	5722	4914
538	5732	4902
539	5742	4891
540	5752	4880
541	5762	4869
542	5771	4857
543	5782	4846
544	5794	4837
545	5806	4827
546	5816	4817
547	5828	4807
548	5837	4795
549	5847	4784
550	5858	4773
551	5869	4763
552	5883	4755
553	5894	4745
554	5907	4736
555	5919	4727
556	5932	4717
557	5947	4710
558	5960	4702
559	5974	4694
560	5991	4688
561	6007	4681
562	6027	4678
563	6040	4669
564	6052	4659
565	6061	4647
566	6073	4638
567	6085	4628
568	6096	4618
569	6106	4606
570	6118	4596
571	6129	4586
572	6139	4575
573	6149	4563
574	6158	4552
575	6169	4541
576	6179	4529
577	6188	4518
578	6199	4507
579	6208	4496
580	6218	4484
581	6229	4474
582	6238	4462
583	6248	4450
584	6257	4438
585	6268	4428
586	6279	4417
587	6289	4406
588	6299	4396
589	6310	4384
590	6319	4373
591	6328	4361
592	6337	4349
593	6346	4337
594	6355	4325
595	6365	4314
596	6376	4304
597	6391	4296
598	6400	4284
599	6410	4273
600	6419	4262
601	6428	4250
602	6439	4239
603	6448	4227
604	6456	4215
605	6465	4203
606	6474	4191
607	6483	4180
608	6493	4168
609	6502	4157
610	6512	4146
611	6521	4134
612	6529	4122
613	6539	4111
614	6548	4099
615	6557	4087
616	6566	4076
617	6575	4064
618	6586	4053
619	6594	4042
620	6603	4030
621	6612	4018
622	6621	4007
623	6630	3995
624	6639	3983
625	6648	3972
626	6658	3961
627	6667	3949
628	6676	3938
629	6686	3926
630	6694	3914
631	6703	3903
632	6712	3891
633	6720	3879
634	6729	3868
635	6738	3856
636	6746	3844
637	6756	3833
638	6766	3822
639	6775	3811
640	6783	3799
641	6793	3788
642	6803	3777
643	6812	3766
644	6822	3755
645	6832	3744
646	6841	3732
647	6850	3721
648	6859	3709
649	6869	3698
650	6878	3687
651	6886	3675
652	6896	3665
653	6907	3654
654	6915	3642
655	6925	3631
656	6933	3619
657	6943	3608
658	6951	3597
659	6961	3586
660	6970	3575
661	6979	3563
662	6988	3552
663	6998	3541
664	7008	3530
665	7016	3518
666	7025	3507
667	7034	3496
668	7043	3484
669	7051	3473
670	7060	3461
671	7070	3451
672	7078	3439
673	7088	3428
674	7096	3417
675	7106	3405
676	7115	3394
677	7125	3384
678	7135	3373
679	7145	3362
680	7154	3351
681	7164	3340
682	7174	3329
683	7184	3318
684	7193	3308
685	7205	3297
686	7232	3295
687	7246	3286
688	7257	3275
689	7270	3266
690	7282	3256
691	7291	3245
692	7305	3236
693	7315	3225
694	7324	3214
695	7335	3203
696	7346	3193
697	7355	3182
698	7366	3172
699	7375	3161
700	7386	3150
701	7398	3140
702	7408	3129
703	7418	3119
704	7427	3108
705	7436	3096
706	7446	3086
707	7455	3075
708	7464	3063
709	7473	3052
710	7481	3041
711	7490	3029
712	7499	3018
713	7508	3007
714	7516	2996
715	7524	2984
716	7534	2973
717	7542	2962
718	7553	2951
719	7562	2941
720	7571	2930
721	7581	2919
722	7590	2908
723	7600	2897
724	7609	2886
725	7618	2875
726	7628	2864
727	7637	2853
728	7647	2842
729	7658	2832
730	7667	2821
731	7676	2810
732	7685	2799
733	7695	2788
734	7703	2777
735	7712	2766
736	7722	2755
737	7730	2744
738	7739	2733
739	7748	2722
740	7758	2711
741	7766	2700
742	7775	2689
743	7784	2678
744	7793	2667
745	7803	2656
746	7812	2645
747	7821	2634
748	7830	2624
749	7839	2613
750	7848	2602
751	7857	2591
752	7866	2580
753	7875	2569
754	7885	2558
755	7894	2547
756	7903	2536
757	7912	2526
758	7922	2515
759	7931	2504
760	7941	2494
761	7950	2483
762	7960	2472
763	7971	2462
764	7980	2451
765	7990	2440
766	7999	2430
767	8009	2419
768	8019	2409
769	8029	2398
770	8039	2387
771	8048	2377
772	8057	2366
773	8067	2355
774	8077	2344
775	8087	2334
776	8097	2323
777	8106	2313
778	8116	2302
779	8126	2292
780	8136	2281
781	8148	2271
782	8160	2261
783	8169	2250
784	8180	2240
785	8191	2230
786	8203	2220
787	8214	2210
788	8225	2199
789	8235	2189
790	8245	2178
791	8255	2168
792	8264	2157
793	8274	2146
794	8285	2136
795	8295	2125
796	8304	2115
797	8314	2104
798	8324	2094
799	8334	2083
800	8342	2072
801	8351	2061
802	8360	2051
803	8369	2040
804	8378	2029
805	8386	2018
806	8396	2008
807	8406	1997
808	8416	1987
809	8426	1976
810	8436	1965
811	8445	1955
812	8457	1945
813	8466	1934
814	8476	1924
815	8487	1913
816	8497	1903
817	8506	1892
818	8516	1882
819	8528	1872
820	8538	1861
821	8547	1851
822	8558	1840
823	8568	1830
824	8577	1819
825	8588	1809
826	8602	1799
827	8611	1788
828	8621	1778
829	8632	1768
830	8641	1757
831	8651	1746
832	8659	1736
833	8668	1725
834	8677	1714
835	8686	1703
836	8694	1693
837	8703	1682
838	8711	1671
839	8721	1661
840	8730	1650
841	8738	1639
842	8748	1629
843	8757	1618
844	8766	1608
845	8774	1597
846	8783	1586
847	8791	1575
848	8801	1565
849	8809	1554
850	8818	1543
851	8826	1533
852	8835	1522
853	8843	1511
854	8852	1501
855	8861	1490
856	8870	1480
857	8879	1469
858	8889	1459
859	8899	1448
860	8908	1438
861	8916	1427
862	8925	1416
863	8934	1406
864	8946	1396
865	8955	1385
866	8963	1375
867	8972	1364
868	8981	1353
869	8989	1343
870	8998	1332
871	9006	1322
872	9014	1311
873	9023	1300
874	9032	1290
875	9042	1280
876	9052	1269
877	9060	1259
878	9070	1248
879	9079	1238
880	9088	1227
881	9097	1217
882	9105	1206
883	9114	1196
884	9122	1185
885	9131	1174
886	9140	1164
887	9148	1153
888	9158	1143
889	9171	1133
890	9180	1123
891	9189	1112
892	9199	1102
893	9207	1091
894	9216	1081
895	9225	1070
896	9233	1060
897	9242	1049
898	9265	1040
899	9274	1030
900	9282	1019
901	9291	1009
902	9300	999
903	9310	988
904	9319	978
905	9328	967
906	9337	957
907	9347	947
908	9357	936
909	9365	926
910	9374	915
911	9384	905
912	9394	895
913	9404	884
914	9414	874
915	9423	864
916	9434	853
917	9446	843
918	9456	833
919	9465	823
920	9474	812
921	9484	802
922	9493	791
923	9501	781
924	9509	771
925	9517	760
926	9526	750
927	9534	739
928	9543	729
929	9551	718
930	9560	708
931	9569	698
932	9577	687
933	9586	677
934	9595	667
935	9604	656
936	9612	646
937	9622	636
938	9632	625
939	9641	615
940	9651	605
941	9660	594
942	9671	584
943	9682	574
944	9693	564
945	9703	553
946	9712	543
947	9722	533
948	9731	522
949	9741	512
950	9752	502
951	9762	492
952	9772	481
953	9783	471
954	9794	461
955	9803	451
956	9815	441
957	9824	430
958	9834	420
959	9843	410
960	9853	399
961	9864	389
962	9874	379
963	9883	369
964	9892	358
965	9901	348
966	9910	338
967	9920	327
968	9929	317
969	9938	307
970	9947	297
971	9956	286
972	9965	276
973	9975	266
974	9983	255
975	9992	245
976	10001	235
977	10010	225
978	10019	214
979	10028	204
980	10038	194
981	10046	184
982	10056	173
983	10066	163
984	10075	153
985	10084	143
986	10092	132
987	10102	122
988	10111	112
989	10120	102
990	10129	91
991	10138	81
992	10146	71
993	10155	61
994	10163	51
995	10172	40
996	10181	30
997	10189	20
998	10197	10
999	10205	0
